GeographyCode,KS101EW0008,KS101EW0001,KS102EW0036,KS102EW0037,KS102EW0038,KS201EW0020,KS201EW0021,KS201EW0022,KS201EW0023,KS201EW0024,KS201EW0025,KS201EW0026,KS201EW0027,KS201EW0028,KS201EW0029,KS201EW0030,KS201EW0031,KS201EW0032,KS201EW0033,KS201EW0034,KS201EW0035,KS201EW0036,KS201EW0037,KS401EW0020,KS401EW0021,KS401EW0022,KS401EW0023,KS401EW0024,KS401EW0025,KS401EW0026,KS402EW0010,KS402EW0011,KS402EW0012,KS402EW0013,KS402EW0014,KS402EW0015,KS402EW0016,KS402EW0017,KS501EW0014,KS501EW0015,KS501EW0016,KS501EW0017,KS501EW0018,KS501EW0019,KS501EW0020,KS608EW0011,KS608EW0012,KS608EW0013,KS608EW0014,KS608EW0015,KS608EW0016,KS608EW0017,KS608EW0018,KS608EW0019
E01001393,117.7,2112,15.38825758,76.8939394,7.717803029,33.28598485,2.556818182,0,27.46212121,1.373106061,0.852272727,1.420454545,2.793560606,8.001893939,1.041666667,1.515151515,0.520833333,5.397727273,5.681818182,2.462121212,2.130681818,0.568181818,2.935606061,3.786982249,9.822485207,29.46745562,18.10650888,36.33136095,2.485207101,0,22.76519666,30.75089392,0.119189511,3.337306317,2.979737783,37.78307509,1.78784267,0.476758045,10.35254617,8.170117515,10.80022384,0.839395635,9.960828204,44.20817012,15.66871852,9.682668836,22.37591538,14.97152156,10.57770545,10.17087063,7.811228641,5.532953621,4.556550041,14.32058584
E01001396,95.5,1413,15.14508139,68.29440906,16.56050955,27.17622081,2.476999292,0,36.87190375,0.8492569,0.070771408,0.636942675,1.910828025,5.378627035,1.627742392,2.547770701,1.27388535,3.043170559,5.095541401,3.113941967,0.778485492,1.27388535,5.874026893,2.681992337,25.09578544,42.52873563,6.130268199,17.43295019,6.130268199,0,41.09589041,25.83170254,0.195694716,2.152641879,0.978473581,27.39726027,0.391389432,1.956947162,23.51959967,10.09174312,10.42535446,1.668056714,10.67556297,28.77397832,14.84570475,11.41226819,17.40370899,10.69900143,11.9828816,12.98145506,10.27104137,7.132667618,5.420827389,12.69614836
E01001501,61,1850,17.94594595,70.10810812,11.94594595,36.48648649,2.972972973,0.054054054,24.10810811,1.297297297,0.972972973,1.945945946,1.72972973,5.243243243,1.459459459,2.054054054,1.081081081,3.351351351,5.027027027,5.297297297,2,0.594594595,4.324324324,2.38948626,14.81481481,13.739546,35.72281959,30.58542413,2.628434886,0.119474313,18.09290954,24.32762836,2.93398533,4.400977995,11.61369193,33.7408313,1.95599022,2.93398533,14.95388669,9.947299078,10.93544137,2.371541502,10.34255599,38.99868248,12.45059289,11.42263759,25.1298027,16.19937695,13.49948079,7.995846314,8.515057113,5.815160955,4.153686397,7.268951194
E01001527,39.7,1563,15.80294306,67.56238004,16.6346769,42.22648752,4.862444018,0,22.6487524,1.407549584,1.023672425,1.727447217,1.85540627,7.933461292,1.66346769,0.575815739,0.575815739,2.303262956,3.134996801,2.431222009,2.303262956,0.575815739,2.751119642,5.405405405,29.42942943,20.27027027,28.67867868,13.96396396,2.252252252,0,31.1627907,31.31782946,0.15503876,4.80620155,4.186046512,24.96124031,1.240310078,2.170542636,16.33738602,8.282674772,12.3100304,1.291793313,12.61398176,40.19756839,8.96656535,11.8159204,26.61691542,15.54726368,11.56716418,9.452736318,8.333333333,5.348258706,4.726368159,6.592039801
E01001458,107.1,1745,26.24641834,66.4756447,7.277936963,18.96848138,0.859598854,0.114613181,23.26647564,2.464183381,0.744985673,1.776504298,2.23495702,1.432664756,0.343839542,3.323782235,0.744985673,3.954154728,19.08309456,8.137535817,5.616045845,1.088825215,5.845272206,3.298350825,8.395802099,19.49025487,64.61769115,2.848575712,1.349325337,0,8.43373494,19.42771084,0.451807229,38.25301205,7.831325301,21.23493976,0.602409639,3.765060241,30.3030303,14.68531469,13.51981352,0.543900544,7.77000777,18.95881896,14.21911422,6.115702479,12.23140496,7.107438017,8.099173554,11.73553719,14.21487603,12.56198347,8.925619835,19.00826446
E01001553,79.7,1597,28.24045085,63.05572949,8.703819661,25.10958046,1.377582968,0.187852223,19.78710081,2.943018159,1.189730745,0.939261115,1.502817783,2.37946149,1.753287414,2.880400751,0.751408892,4.696305573,12.3356293,7.201001879,6.261740764,1.06449593,7.639323732,8.752327747,32.77467412,35.5679702,19.18063315,2.793296089,0.744878957,0.186219739,11.88679245,28.49056604,0,33.96226415,5.471698113,18.11320755,0.754716981,1.320754717,32.37347295,13.43804538,12.47818499,0.959860384,8.115183246,17.80104712,14.83420593,5.996472663,11.4638448,7.407407407,11.64021164,13.22751323,13.05114638,10.75837743,9.523809524,16.93121693
E01001554,148.3,1791,26.13065326,66.10831938,7.761027359,21.27303183,0.390843104,0,19.43048576,1.060859855,1.116694584,1.563372418,3.796761586,1.842546064,0.279173646,2.847571189,0.837520938,3.629257398,18.70463428,9.380234506,5.304299274,1.228364042,7.314349525,0.919842313,1.839684625,6.438896189,88.96189225,1.051248357,0.788436268,0,8.068783069,13.49206349,0.132275132,55.42328042,6.613756614,13.0952381,1.322751323,1.851851852,33.25774754,14.58805745,12.77399849,0.907029478,7.936507937,18.21617536,12.32048375,7.655502392,13.07814992,9.250398724,7.655502392,11.32376396,11.48325359,13.23763955,7.814992026,18.50079745
E01001562,120.4,1716,24.59207459,68.12354313,7.284382284,19.40559441,0.524475524,0,16.66666667,1.864801865,1.282051282,0.874125874,2.156177156,2.214452214,0.990675991,2.913752914,1.223776224,5.477855478,20.57109557,9.382284382,5.06993007,1.864801865,7.517482517,3.142076503,9.426229508,14.07103825,71.72131148,1.639344262,0,0,3.797468354,12.23628692,0.140646976,10.40787623,36.99015471,33.89592124,0.984528833,1.547116737,29.75270479,15.06955178,13.21483771,0.386398764,8.809891808,22.41112828,10.35548686,5.071315372,22.18700475,6.814580032,8.716323296,9.350237718,14.10459588,11.7274168,7.290015848,14.7385103
E01032574,56.5,2059,28.31471588,62.6517727,9.033511413,17.48421564,1.699854298,0.048567266,19.71830986,1.651287033,0.874210782,1.359883439,1.845556095,3.399708596,0.971345313,1.748421564,0.777076251,9.956289461,16.99854298,9.762020398,4.808159301,1.214181642,5.682370083,8.226950355,12.34042553,54.89361702,17.30496454,6.95035461,0.283687943,0,23.5971223,26.33093525,0.431654676,11.36690647,9.496402878,24.60431655,2.446043165,1.726618705,27.91327913,13.61788618,14.1598916,1.219512195,8.875338753,22.15447154,12.0596206,5.541561713,18.89168766,8.942065491,10.70528967,11.96473552,12.0906801,9.19395466,8.564231738,14.10579345
E01001690,141.6,1932,25.51759834,66.61490683,7.867494824,47.72256729,0.82815735,0.051759834,5.279503106,1.915113872,0.879917184,0.258799172,1.035196687,0.983436853,0.362318841,0,0.569358178,0.724637681,30.33126294,3.467908903,3.67494824,0.103519669,1.811594203,1.648998822,7.89163722,27.44405183,56.06595995,6.949352179,0,0,5.680473373,12.5443787,4.142011834,4.378698225,65.0887574,6.74556213,0.710059172,0.710059172,25.15635858,15.77484364,13.34259903,1.945795691,8.269631689,25.85128562,9.659485754,6.011560694,14.56647399,9.595375723,13.17919075,9.710982659,11.21387283,8.670520231,8.554913295,18.49710983
