start_point,end_point,length
1616,2608915,34
1578,1566,164
1566,803,25
1618,1566,81
1039,1764,18
864,1039,118
1628,1510,81
1083,1248,132
1631,2608918,94
1632,1237,63
1632,2608919,57
1634,2182,66
1634,2182,76
1640,2063,100
1640,2063,47
1340,2608923,8
1643,1340,8
1648,2643,135
1650,1995,46
1655,1509,64
803,277,43
1510,2315,80
1057,2608927,12
1603,1057,59
1661,2181,59
1661,2608932,102
1662,449,38
449,1544,37
1666,1245,35
1676,1075,113
1075,1076,160
1681,864,141
1690,753,52
1499,2608940,11
1599,2010,76
659,792,8
1695,1407,63
1696,1697,92
1697,1732,80
1697,2751,330
1698,2221,97
1435,1909,25
1703,2608944,21
1706,3979,407
1706,2860,182
1707,1749,38
1716,2608948,11
1720,1950,27
1720,2200,153
1721,1793,14
1722,1558,116
1725,1499,30
764,1727,23
1727,764,21
1728,1871,28
1730,1426,7
1731,1471,232
1732,189,72
1733,1733,137
1733,2608951,15
1208,2882,161
1741,2069,38
1741,2608954,18
1749,2364,88
1749,1696,29
1750,1628,382
1751,1628,30
1754,1789,22
1754,2608957,45
1756,2608958,28
277,1578,91
1544,1796,134
1764,2608961,6
1770,2118,93
1771,1770,58
1772,2085,91
1772,2049,33
1773,1751,14
1782,2608963,41
1782,1676,104
1764,2608964,31
1784,1773,61
1785,2608951,81
1789,1944,52
1789,2608966,133
1521,2095,36
1790,659,24
1792,1793,101
1793,2333,264
1545,2608968,40
1796,1545,128
1730,2406,158
1797,1730,77
1716,2608969,19
1597,1666,47
1808,2608973,40
1808,2118,37
1823,2608978,56
1827,2007,21
1829,1827,65
1827,1988,21
1832,2608981,59
1835,2126,33
1835,2060,27
1836,2608983,59
1853,2608987,58
1578,2620,84
1578,1862,67
1858,1784,13
1862,1858,56
1863,1858,94
1870,1655,10
1871,1870,50
1703,1790,40
1884,1756,3
1884,2608995,39
1887,2608996,83
1888,1466,7
1889,1466,130
1890,1984,22
1890,19556,2109
1894,1603,49
1727,1951,84
1895,1727,10
189,2032,54
1900,2706,132
1909,1823,23
1909,2608999,77
1756,3435,198
1616,1939,11
1914,1616,122
1076,1565,76
1924,1928,6
1928,2609005,6
1930,2609006,10
1935,1001,47
1936,1001,72
1939,1258,38
1914,1939,79
1940,2609011,53
1944,2609012,17
1950,1950,75
1655,2548,70
1951,2007,63
1952,1888,100
1959,1666,128
1237,2440,67
1975,2609022,23
1976,1975,268
1975,2501,58
1977,1895,28
1895,3478,202
1978,1930,58
1871,2609023,11
1981,1790,84
1982,1662,154
1662,2597,159
1983,1662,120
1984,2222,277
1984,2306,143
1987,2609024,33
1988,1829,31
1989,2191,22
1995,2046,8
1725,2111,59
2000,1695,86
1695,2604,91
1930,2609028,15
2007,1988,4
2009,2010,74
2010,2095,21
2011,1251,86
1252,1251,317
2014,1258,23
2015,2608314,72
2016,2608314,88
2017,2596,65
2017,2609032,122
2023,2073,22
2030,2609040,33
2030,2324,162
2032,2694,77
2032,550,16
2033,2609041,15
1829,2061,104
1944,2609043,102
1832,2464,47
1565,1430,49
2046,3094,136
2046,2740,90
1564,2202,39
2049,2086,95
2049,4993,332
2033,2609050,76
2050,2033,69
2052,2053,68
2053,2284,56
2054,2053,42
1631,2609051,30
2060,2254,21
2061,2060,23
2060,2126,11
2063,2136,8
1823,1853,10
2052,2054,39
2068,2054,19
2069,2609056,48
2070,2068,276
2071,2068,101
2072,2154,10
550,2439,128
2073,2183,47
2074,2070,19
2078,2158,26
2069,2504,46
2085,2322,94
2086,2085,32
2087,2206,12
2087,2134,19
2095,2609066,150
2096,2050,16
2050,2096,207
1519,2609067,66
2097,1519,85
2070,2284,106
2110,2111,42
